ID,Age,Gender,Tenure,Plan,Months To Contract End,ARPU,Churned
20132577,64.0,FEMALE,37.161290322,2000Mbps Fibre Broadband,-13.193548388,58.785,0.0
21064271,60.0,FEMALE,25.193548387,1000Mbps Fibre Broadband,22.870967741,0.0,0.0
13229588,57.0,MALE,81.419354838,1000Mbps Fibre Broadband,-22.225806452,37.38,0.0
14390246,43.0,MALE,55.483870967,1000Mbps Fibre Broadband,7.096774193,31.32,0.0
11397400,42.0,MALE,78.838709677,1000Mbps Fibre Broadband,17.93548387,40.2805,0.0
22835735,42.0,MALE,1.967741935,1000Mbps Fibre Broadband,22.0,0.0,0.0
13584314,41.0,MALE,81.354838709,1000Mbps Fibre Broadband,4.806451612,36.08,0.0
15795228,41.0,FEMALE,80.225806451,1000Mbps Fibre Broadband,14.096774193,37.2905,0.0
15795228,41.0,FEMALE,80.225806451,1000Mbps Fibre Broadband,14.096774193,37.2905,0.0
21611956,37.0,FEMALE,18.419354838,1000Mbps Fibre Broadband,-1.290322581,31.32,0.0
14934574,71.0,MALE,63.451612903,1000Mbps Fibre Broadband,10.774193548,37.2905,0.0
21208750,41.0,FEMALE,23.709677419,2000Mbps Fibre Broadband,0.258064516,69.8776,0.0
21433874,35.0,FEMALE,21.0,2000Mbps Fibre Broadband,2.93548387,51.3084,0.0
6039319,67.0,MALE,52.612903225,1000Mbps Fibre Broadband,-4.677419355,21.2857,0.0
12223733,41.0,MALE,49.612903225,MaxInfinity 500Mbps,-1.645161291,27.9439,0.0
19737048,52.0,FEMALE,42.838709677,1000Mbps Fibre Broadband,4.548387096,37.2905,0.0
19737048,52.0,FEMALE,42.838709677,1000Mbps Fibre Broadband,4.548387096,37.2905,0.0
6274282,46.0,FEMALE,86.129032258,1000Mbps Fibre Broadband,-21.645161291,34.92,0.0
6581727,42.0,MALE,82.516129032,1000Mbps Fibre Broadband,-15.161290323,34.92,0.0
13603034,63.0,MALE,76.870967741,1000Mbps Fibre Broadband,-0.70967742,31.32,0.0
16715882,58.0,FEMALE,68.709677419,1000Mbps Fibre Broadband,-15.548387097,37.2905,0.0
20920746,39.0,MALE,26.677419354,1000Mbps Fibre Broadband,21.193548387,0.0,0.0
5680273,51.0,FEMALE,51.870967741,1000Mbps Fibre Broadband,8.967741935,21.2857,0.0
18319586,55.0,MALE,54.516129032,1000Mbps Fibre Broadband,-30.548387097,37.38,0.0
6381804,49.0,FEMALE,50.612903225,1000Mbps Fibre Broadband,16.387096774,36.81,0.0
6109160,59.0,FEMALE,14.129032258,2000Mbps Fibre Broadband,9.838709677,48.99,0.0
20186575,41.0,MALE,36.258064516,MaxInfinity 500Mbps,-17.225806452,27.9439,1.0
6383724,55.0,MALE,86.0,1000Mbps Fibre Broadband,-33.419354839,37.38,0.0
20658662,42.0,MALE,30.0,1000Mbps Fibre Broadband,18.29032258,37.2905,0.0
13849278,47.0,MALE,83.741935483,1000Mbps Fibre Broadband,15.838709677,31.32,0.0
14255844,32.0,FEMALE,43.548387096,1000Mbps Fibre Broadband,-19.580645162,33.67367,0.0
14110402,54.0,MALE,54.548387096,MaxInfinity 1000Mbps Speedboost,-56.161290323,27.8965,0.0
14110402,54.0,MALE,54.548387096,MaxInfinity 1000Mbps Speedboost,-56.161290323,27.8965,0.0
11590123,39.0,MALE,89.516129032,1000Mbps Fibre Broadband,23.387096774,0.0,0.0
6893972,52.0,MALE,44.548387096,1000Mbps Fibre Broadband,11.161290322,31.32,0.0
14151682,45.0,MALE,47.193548387,1000Mbps Fibre Broadband,-4.06451613,36.08,0.0
21028027,55.0,MALE,25.451612903,1000Mbps Fibre Broadband,-1.483870968,42.8978,0.0
21028027,55.0,MALE,25.451612903,1000Mbps Fibre Broadband,-1.483870968,42.8978,0.0
21028027,55.0,MALE,25.451612903,1000Mbps Fibre Broadband,-1.483870968,42.8978,0.0
6497006,49.0,MALE,46.548387096,1000Mbps Fibre Broadband,-22.580645162,37.38,0.0
11078676,68.0,MALE,64.322580645,1000Mbps Fibre Broadband,-19.645161291,34.92,0.0
6215207,63.0,MALE,76.967741935,1000Mbps Fibre Broadband,-4.096774194,37.2905,0.0
6215207,63.0,MALE,76.967741935,1000Mbps Fibre Broadband,-4.096774194,37.2905,0.0
20205501,33.0,FEMALE,36.032258064,1000Mbps Fibre Broadband,-12.06451613,36.08,0.0
12406102,51.0,MALE,27.483870967,2000Mbps Fibre Broadband,-3.516129033,48.99,0.0
22814821,63.0,FEMALE,2.354838709,1000Mbps Fibre Broadband,21.612903225,36.8567,0.0
19647972,33.0,MALE,43.64516129,1000Mbps Fibre Broadband,5.096774193,37.2905,0.0
20512466,40.0,MALE,31.774193548,2000Mbps Fibre Broadband,16.322580645,59.02,0.0
15960076,33.0,MALE,78.354838709,1000Mbps Fibre Broadband,18.064516129,37.2905,0.0
18978362,44.0,MALE,48.677419354,1000Mbps Fibre Broadband,19.612903225,0.0,0.0
5711920,48.0,MALE,75.548387096,1000Mbps Fibre Broadband,-0.290322581,31.32,0.0
22276492,67.0,FEMALE,9.129032258,1000Mbps Fibre Broadband,14.838709677,31.32,0.0
21405999,38.0,MALE,21.096774193,2000Mbps Fibre Broadband,2.870967741,51.3084,0.0
16608566,45.0,MALE,70.387096774,1000Mbps Fibre Broadband,12.258064516,37.2905,0.0
20281102,44.0,MALE,34.806451612,1000Mbps Fibre Broadband,13.580645161,31.32,0.0
19393088,64.0,FEMALE,45.677419354,1000Mbps Fibre Broadband,,0.0,0.0
11814013,46.0,FEMALE,45.741935483,1000Mbps Fibre Broadband,-21.774193549,39.5835,0.0
11150643,40.0,MALE,5.903225806,2000Mbps Fibre Broadband,18.064516129,50.23944,0.0
22284413,38.0,MALE,9.064516129,1000Mbps Fibre Broadband R1,14.903225806,42.8972,0.0
13544439,51.0,FEMALE,19.548387096,2000Mbps Fibre Broadband,4.419354838,51.3084,0.0
12892589,37.0,MALE,43.774193548,1000Mbps Fibre Broadband,-19.806451613,27.9439,1.0
20216541,36.0,MALE,35.903225806,1000Mbps Fibre Broadband,-11.677419355,37.2905,0.0
21913847,37.0,MALE,14.516129032,1000Mbps Fibre Broadband R1,9.451612903,42.8972,0.0
15992477,39.0,FEMALE,54.967741935,MaxInfinity 1000Mbps Speedboost,-54.0,27.944,0.0
17732023,60.0,FEMALE,61.677419354,1000Mbps Fibre Broadband,2.419354838,36.08,0.0
22772820,32.0,MALE,3.032258064,1000Mbps Fibre Broadband R1,20.93548387,0.0,0.0
22230412,62.0,MALE,9.612903225,2000Mbps Fibre Broadband,14.354838709,72.99,0.0
13546839,51.0,MALE,49.29032258,1000Mbps Fibre Broadband,16.354838709,37.2905,0.0
22934823,33.0,FEMALE,0.29032258,2000Mbps Fibre Broadband,23.677419354,0.0,0.0
16698087,42.0,MALE,43.903225806,1000Mbps Fibre Broadband,10.258064516,33.0652,0.0
16138399,58.0,FEMALE,33.483870967,2000Mbps Fibre Broadband,22.225806451,47.02,0.0
14400052,56.0,MALE,57.548387096,1000Mbps Fibre Broadband,-33.580645162,37.2905,0.0
16785449,69.0,MALE,67.612903225,1000Mbps Fibre Broadband,-6.967741936,37.2905,0.0
6184007,55.0,MALE,74.322580645,1000Mbps Fibre Broadband,4.225806451,31.32,0.0
11449207,46.0,MALE,79.516129032,1000Mbps Fibre Broadband,18.806451612,47.2905,0.0
20119340,63.0,MALE,37.387096774,1000Mbps Fibre Broadband,-13.419354839,37.2905,0.0
14355412,58.0,MALE,45.774193548,1000Mbps Fibre Broadband,-81.193548388,69.9545,0.0
14355412,58.0,MALE,45.774193548,1000Mbps Fibre Broadband,-81.193548388,69.9545,0.0
12668666,57.0,MALE,87.677419354,1000Mbps Fibre Broadband,18.161290322,31.81,0.0
22439935,46.0,MALE,7.64516129,1000Mbps Fibre Broadband,4.193548387,34.31,0.0
14937660,53.0,MALE,76.516129032,1000Mbps Fibre Broadband,7.612903225,31.32,0.0
6497212,39.0,MALE,56.032258064,1000Mbps Fibre Broadband,-4.612903226,37.2905,0.0
6486411,55.0,MALE,87.903225806,1000Mbps Fibre Broadband,4.29032258,42.2905,0.0
6316489,38.0,MALE,92.193548387,1000Mbps Fibre Broadband,-26.387096775,37.38,0.0
5834322,56.0,MALE,66.0,1000Mbps Fibre Broadband,4.870967741,31.32,0.0
5834322,56.0,MALE,66.0,1000Mbps Fibre Broadband,4.870967741,31.32,0.0
11322485,38.0,MALE,56.258064516,1000Mbps Fibre Broadband,-32.290322581,37.38,0.0
17564501,55.0,MALE,45.870967741,1000Mbps Fibre Broadband,3.129032258,36.08,0.0
14958061,59.0,MALE,63.483870967,1000Mbps Fibre Broadband,6.774193548,37.2905,0.0
